H,H,H,Q,Q,Q
Exp,Location,Variety,Rep,Designation,Pesticide_App
AMEN,Lind2024,BORDER,NA,0,Y
AMEN,Lind2024,MN106-FR,1,1,N
AMEN,Lind2024,ISU-86,1,2,N
AMEN,Lind2024,Cheyenne,1,3,Y
AMEN,Lind2024,Calena,1,4,Y
AMEN,Lind2024,H8-3,1,5,N
AMEN,Lind2024,Joelle,1,6,N
AMEN,Lind2024,WA-HT1,1,7,Y
AMEN,Lind2024,H8-2,1,8,Y
AMEN,Lind2024,ISU-254,1,9,Y
AMEN,Lind2024,Suneson,1,10,N
AMEN,Lind2024,BSX-WGI,1,11,N
AMEN,Lind2024,MN106,1,12,N
AMEN,Lind2024,Bison,1,13,Y
AMEN,Lind2024,FALLOW,NA,14,Y
AMEN,Lind2024,Joelle,2,15,Y
AMEN,Lind2024,Cheyenne,2,16,N
AMEN,Lind2024,Suneson,2,17,N
AMEN,Lind2024,MN106,2,18,N
AMEN,Lind2024,H8-2,2,19,N
AMEN,Lind2024,Bison,2,20,Y
AMEN,Lind2024,ISU-86,2,21,Y
AMEN,Lind2024,Calena,2,22,Y
AMEN,Lind2024,ISU-254,2,23,Y
AMEN,Lind2024,WA-HT1,2,24,Y
AMEN,Lind2024,MN106-FR,2,25,Y
AMEN,Lind2024,H8-3,2,26,N
AMEN,Lind2024,BSX-WGI,2,27,N
AMEN,Lind2024,BORDER,NA,28,Y
AMEN,Lind2024,OSU-4,1,29,Y
AMEN,Lind2024,OSU-11,1,30,N
AMEN,Lind2024,OSU-32,1,31,N
AMEN,Lind2024,OSU-39,1,32,Y
AMEN,Lind2024,OSU-76,1,33,Y
AMEN,Lind2024,OSU-133,1,34,Y
AMEN,Lind2024,OSU-157,1,35,N
AMEN,Lind2024,OSU-164,1,36,N
AMEN,Lind2024,OSU-167,1,37,N
AMEN,Lind2024,OSU-184,1,38,Y
AMEN,Lind2024,BORDER,NA,39,Y
AMEN,Lind2024,BORDER,NA,40,Y
AMEN,Lind2024,MN106-FR,1,41,N
AMEN,Lind2024,ISU-86,1,42,N
AMEN,Lind2024,Cheyenne,1,43,N
AMEN,Lind2024,Calena,1,44,N
AMEN,Lind2024,H8-3,1,45,Y
AMEN,Lind2024,Joelle,1,46,Y
AMEN,Lind2024,WA-HT1,1,47,Y
AMEN,Lind2024,H8-2,1,48,Y
AMEN,Lind2024,ISU-254,1,49,Y
AMEN,Lind2024,Suneson,1,50,Y
AMEN,Lind2024,BSX-WGI,1,51,N
AMEN,Lind2024,MN106,1,52,N
AMEN,Lind2024,Bison,1,53,Y
AMEN,Lind2024,FALLOW,NA,54,Y
AMEN,Lind2024,Joelle,2,55,N
AMEN,Lind2024,Cheyenne,2,56,N
AMEN,Lind2024,Suneson,2,57,Y
AMEN,Lind2024,MN106,2,58,Y
AMEN,Lind2024,H8-2,2,59,Y
AMEN,Lind2024,Bison,2,60,N
AMEN,Lind2024,ISU-86,2,61,N
AMEN,Lind2024,Calena,2,62,N
AMEN,Lind2024,ISU-254,2,63,Y
AMEN,Lind2024,WA-HT1,2,64,Y
AMEN,Lind2024,MN106-FR,2,65,Y
AMEN,Lind2024,H8-3,2,66,N
AMEN,Lind2024,BSX-WGI,2,67,N
AMEN,Lind2024,BORDER,NA,68,N
AMEN,Lind2024,OSU-4,1,69,N
AMEN,Lind2024,OSU-11,1,70,Y
AMEN,Lind2024,OSU-32,1,71,Y
AMEN,Lind2024,OSU-39,1,72,Y
AMEN,Lind2024,OSU-76,1,73,Y
AMEN,Lind2024,OSU-133,1,74,Y
AMEN,Lind2024,OSU-157,1,75,Y
AMEN,Lind2024,OSU-164,1,76,N
AMEN,Lind2024,OSU-167,1,77,N
AMEN,Lind2024,OSU-184,1,78,Y
AMEN,Lind2024,BORDER,NA,79,Y
AMEN,Lind2024,BORDER,NA,80,N
AMEN,Lind2024,MN106-FR,1,81,N
AMEN,Lind2024,ISU-86,1,82,Y
AMEN,Lind2024,Cheyenne,1,83,Y
AMEN,Lind2024,Calena,1,84,Y
AMEN,Lind2024,H8-3,1,85,N
AMEN,Lind2024,Joelle,1,86,N
AMEN,Lind2024,WA-HT1,1,87,N
AMEN,Lind2024,H8-2,1,88,Y
AMEN,Lind2024,ISU-254,1,89,Y
AMEN,Lind2024,Suneson,1,90,Y
AMEN,Lind2024,BSX-WGI,1,91,N
AMEN,Lind2024,MN106,1,92,N
AMEN,Lind2024,Bison,1,93,N
AMEN,Lind2024,FALLOW,NA,94,N
AMEN,Lind2024,Joelle,2,95,Y
AMEN,Lind2024,Cheyenne,2,96,Y
AMEN,Lind2024,Suneson,2,97,Y
AMEN,Lind2024,MN106,2,98,Y
AMEN,Lind2024,H8-2,2,99,Y
AMEN,Lind2024,Bison,2,100,Y
AMEN,Lind2024,ISU-86,2,101,N
AMEN,Lind2024,Calena,2,102,N
AMEN,Lind2024,ISU-254,2,103,Y
AMEN,Lind2024,WA-HT1,2,104,Y
AMEN,Lind2024,MN106-FR,2,105,N
AMEN,Lind2024,H8-3,2,106,N
AMEN,Lind2024,BSX-WGI,2,107,Y
AMEN,Lind2024,BORDER,NA,108,Y
AMEN,Lind2024,OSU-4,1,109,Y
AMEN,Lind2024,OSU-11,1,110,N
AMEN,Lind2024,OSU-32,1,111,N
AMEN,Lind2024,OSU-39,1,112,N
AMEN,Lind2024,OSU-76,1,113,Y
AMEN,Lind2024,OSU-133,1,114,Y
AMEN,Lind2024,OSU-157,1,115,Y
AMEN,Lind2024,OSU-164,1,116,N
AMEN,Lind2024,OSU-167,1,117,N
AMEN,Lind2024,OSU-184,1,118,N
AMEN,Lind2024,BORDER,NA,119,N
AMEN,Lind2024,BORDER,NA,120,Y
AMEN,Lind2024,MN106-FR,1,121,Y
AMEN,Lind2024,ISU-86,1,122,Y
AMEN,Lind2024,Cheyenne,1,123,Y
AMEN,Lind2024,Calena,1,124,Y
AMEN,Lind2024,H8-3,1,125,Y
AMEN,Lind2024,Joelle,1,126,N
AMEN,Lind2024,WA-HT1,1,127,N
AMEN,Lind2024,H8-2,1,128,Y
AMEN,Lind2024,ISU-254,1,129,Y
AMEN,Lind2024,Suneson,1,130,N
AMEN,Lind2024,BSX-WGI,1,131,N
AMEN,Lind2024,MN106,1,132,Y
AMEN,Lind2024,Bison,1,133,Y
AMEN,Lind2024,FALLOW,NA,134,Y
AMEN,Lind2024,Joelle,2,135,N
AMEN,Lind2024,Cheyenne,2,136,N
AMEN,Lind2024,Suneson,2,137,N
AMEN,Lind2024,MN106,2,138,Y
AMEN,Lind2024,H8-2,2,139,Y
AMEN,Lind2024,Bison,2,140,Y
AMEN,Lind2024,ISU-86,2,141,N
AMEN,Lind2024,Calena,2,142,N
AMEN,Lind2024,ISU-254,2,143,N
AMEN,Lind2024,WA-HT1,2,144,N
AMEN,Lind2024,MN106-FR,2,145,Y
AMEN,Lind2024,H8-3,2,146,Y
AMEN,Lind2024,BSX-WGI,2,147,Y
AMEN,Lind2024,BORDER,NA,148,Y
AMEN,Lind2024,OSU-4,1,149,Y
AMEN,Lind2024,OSU-11,1,150,Y
AMEN,Lind2024,OSU-32,1,151,N
AMEN,Lind2024,OSU-39,1,152,Y
AMEN,Lind2024,OSU-76,1,153,Y
AMEN,Lind2024,OSU-133,1,154,Y
AMEN,Lind2024,OSU-157,1,155,N
AMEN,Lind2024,OSU-164,1,156,N
AMEN,Lind2024,OSU-167,1,157,N
AMEN,Lind2024,OSU-184,1,158,Y
AMEN,Lind2024,BORDER,NA,159,Y